title,url
Disney Official,https://create.kahoot.it/pages/5be12809-9650-4ddf-ab60-3276fa948257
Science and Trivia,https://create.kahoot.it/profiles/6aa1ad42-fcfa-4316-aa8f-f5e91fcd0118
Back to School,https://create.kahoot.it/profiles/d81390aa-d193-49b5-a434-e26505786039
Back to School,https://create.kahoot.it/profiles/6844d1c0-15c2-4d04-af8e-4fabf74edea2
STEM and Robotics,https://create.kahoot.it/profiles/0b0eb76a-6b8a-4a50-9072-a62671367368
WWF Wild Classroom,https://create.kahoot.it/profiles/2574cc61-8958-4833-a84b-8e1bbdb09382
First News Education,https://create.kahoot.it/profiles/151a5d4c-fac4-4fce-9b66-b894a87f190b
Next Gen Personal Finance,https://create.kahoot.it/profiles/2b5c6152-8d9f-4b72-bf33-656c459c2d01
Earth & Space science,https://create.kahoot.it/pages/14ffc83b-8e43-475e-b616-e9411b4b1db3
Learn like a Pro,https://create.kahoot.it/profiles/c97f2f2b-8540-4d97-bbb9-894cfa3af992
Growth Mindset Activities,https://create.kahoot.it/profiles/65a2cdbc-f37d-44c5-ad47-8167dc0fe595
Make learning math awesome,https://create.kahoot.it/pages/36221dac-8867-4631-87be-72f34b855e6d
World of Chess,https://create.kahoot.it/profiles/b9866426-8e26-404d-8b13-4664886da0e4
Angry Birds,https://create.kahoot.it/pages/42ac56ae-e90d-49be-8b53-0761db09dda4
Whiteboard.fi – Instant learning assessment tool,https://create.kahoot.it/profiles/e44b46f4-1ef8-4a68-936e-257e189b07e3
Science knowledge,https://create.kahoot.it/profiles/16731cd5-c64a-48f2-8246-1c18160a51e7
Steve Spangler – Making science fun,https://create.kahoot.it/pages/6bccad11-7e39-41c7-8d44-28ad55feafd1
Move This World,https://create.kahoot.it/profiles/f25be008-a455-4eac-80e8-6c8738ddcfee
Rebel Girls,https://create.kahoot.it/pages/0ea27a02-e8b4-4d6b-99c3-d3288fab9362
The Nature Conservancy,https://create.kahoot.it/v2/pages/6bde1808-f15c-4e67-bf47-bae3d4613fc2
Math by Kahoot!,https://create.kahoot.it/pages/5db17a77-7d9f-4e15-aae4-1dd6cc91c2ee
Empatico SEL Trivia,https://create.kahoot.it/pages/eed4c44b-91b3-44b6-b5bd-9d4785fc578d?_=1596740461
Marvel Science,https://create.kahoot.it/pages/c17df658-f505-4477-93a6-6c5091a2cd63
Common Sense Education,https://create.kahoot.it/pages/b33c5462-a96e-4bb5-8afa-5e7842dca80d
Read. Play. Learn,https://create.kahoot.it/pages/769892b1-465a-4b1b-ac8c-203be19f9a20
Time for Kids: Current Events,https://create.kahoot.it/profiles/252e92e2-4981-42f2-80b3-8d751b062357
PBS NewsHour EXTRA,https://create.kahoot.it/pages/5297cc4b-0479-4f3a-9597-6afe1901eea7
Social & Emotional Learning,https://create.kahoot.it/pages/5a3b8193-70ab-42eb-a757-48bd405ffba4
Tinkercast – Scientific Game Show,https://create.kahoot.it/pages/7ae60052-449e-4ca6-b485-ef4d1a2a50da
Britannica,https://create.kahoot.it/pages/cd379f61-db56-48fc-89dd-79d69f8935c6
Suzanie Mat Saat – Business & Marketing,https://create.kahoot.it/pages/22116701-8f02-42af-a88a-fab30fe6cc88
Olav Schewe – Learning Skills,https://create.kahoot.it/profiles/c97f2f2b-8540-4d97-bbb9-894cfa3af992
Steve Sherman – Math,https://create.kahoot.it/profiles/d11871e8-c733-4ef8-960c-716aef47dbaa
Afaq Virk – Science & Math,https://create.kahoot.it/profiles/35e825e0-8026-49fe-89c5-74cf77bccee3
Sean O’Brien – Science,https://create.kahoot.it/pages/28100430-2dd9-4361-8b64-63d40771e413
Godfrey Lau – Biology,https://create.kahoot.it/profiles/827da62f-e2d9-4ea6-a590-32923090be27
Stephanie Castle – Biology,https://create.kahoot.it/pages/b07b5152-795f-4f07-9475-8a7b5900450d
Gina Ruffcorn – ELA,https://create.kahoot.it/pages/d685c1ad-42ef-400c-97bc-b061b7744dd8
Shaia Belt – General knowledge,https://create.kahoot.it/pages/dd8d793b-558e-4e80-b56d-fdda8ce3481a
Cathy Yenca – Math,https://create.kahoot.it/pages/c3bb2bcf-538d-4fbf-874b-e3c2d33375ea
Teh Sieweng – Science & Technology,https://create.kahoot.it/pages/99a87096-f9b0-4908-87bc-9baf9a58b88d
Rachel Richards – Nutrition & General knowledge,https://create.kahoot.it/v2/profiles/6eb7027c-cef1-4ba5-bb11-e41335066253
Victoria Fasulo – Science,https://create.kahoot.it/v2/profiles/3000b289-aa97-4827-8f4d-9db20b09dc14
HSA Tutoring – College Preparation,https://create.kahoot.it/pages/3555cf5e-bff6-43f4-ba57-8a1c371a495f
Justin Monaco – Science & General knowledge,https://create.kahoot.it/v2/profiles/13f98a27-2418-4c99-97a9-a28d2ed5479e
Sufyan Akram – Medical Science,https://create.kahoot.it/v2/profiles/1c7e8893-4f1f-4abe-8008-f3f6f1686839
Teacher Appreciation Week,https://create.kahoot.it/collection/a8e054b9-38f6-417c-8148-e53d7dc397bf
Christie Palladino – Science,https://create.kahoot.it/pages/82581057-9062-47d2-a54c-528b8d433c12
Review with Kahoot!,https://create.kahoot.it/pages/592d4b35-6e8f-470d-b137-fc81db1a8e4a
Susan Shackelford – Math,https://create.kahoot.it/profiles/98d7b716-4245-40d6-a7ec-6ef43e4e355a
Marine Stewardship Council – Sustainable Oceans,https://create.kahoot.it/pages/54cd6cf6-f4cc-4aaf-9317-9f837b8a29e4
Dr Ihsan Nazurah Zulkipli – Haematology,https://create.kahoot.it/pages/8951b5ae-b589-4c4a-b74e-7262451fc45f
Karin Schinkmann – Biology,https://create.kahoot.it/v2/profiles/a0d2e7f1-395a-4162-8bae-bab9eac2ce01
Diaaeldein Yossry Hassan Ahmed – Computer science,https://create.kahoot.it/pages/6a460b6b-e670-4ab9-a8ed-e0b8265e1bad
Scholastic – Biology & Health,https://create.kahoot.it/pages/056a83e4-f9b7-41ea-9bd1-d4852eb587a4
Satyendra Arora – Computer Science,https://create.kahoot.it/pages/4df28e04-e4b4-4afb-bcbc-2c8fcafcdffd
Brian Heisey – Science,https://create.kahoot.it/v2/profiles/5eabeeec-39c5-4f9f-b40c-7b7b49ffe294
Macmillan Education – Back to school,https://create.kahoot.it/pages/36c3dc7a-ee1b-4228-9ed7-f5cdd67dfce4
Disney Youth Programs,https://create.kahoot.it/pages/1d61569e-76f7-423c-98c3-5145768d566d
Sustainable Futures,https://create.kahoot.it/pages/c24b97e7-d306-4cec-a501-259745a31c47
Ahmed Sobaah – Science,https://create.kahoot.it/v2/profiles/ba7c5c85-0251-4188-baa6-01862b3d80c1
Leticia Citizen – Digital Citizenship,https://create.kahoot.it/pages/cbb3be75-39aa-4275-bc3d-d4740a994dcb
Brenda Cano – Español,https://create.kahoot.it/v2/profiles/45faa047-23a2-4cf5-9eb1-d52116e1d663
Kristen Nelson – Math & ELA,https://create.kahoot.it/v2/profiles/93e5146c-a552-414b-be96-9429b4089557
Kristian Lecours – General knowledge & Trivia,https://create.kahoot.it/pages/63cf43ce-c230-4e6e-b2e9-3bf2fb1f079d
Rohitash Raj – Science,https://create.kahoot.it/pages/e6240bab-02b2-4311-aed3-34b7aaa6a78a
Cora Lauderdale – Math,https://create.kahoot.it/pages/11c90d7d-76af-414c-9988-785e4e982920
Mona Hosny Abdellatif – Science,https://create.kahoot.it/pages/d292fe6f-0b4e-477b-bba4-1160baa4f41d
Floridablanca – Science & Nutrition,https://create.kahoot.it/v2/profiles/f37bae70-6a5a-4dc4-942e-7e99a2cedf40
Maurice Gravidez – Science,https://create.kahoot.it/pages/e70d4a9c-e403-4e4b-a8f5-b2ccc69f2cbb
Kristen Davis – Math & Trivia,https://create.kahoot.it/v2/profiles/59840c0d-681a-42e9-b933-779780c29e72
Neeta Arsule – Science,https://create.kahoot.it/pages/0a28c3f4-b899-4b98-85cf-31ce28dbd7d0
Ashish Dhekan – General knowledge,https://create.kahoot.it/pages/561476e5-da05-4b89-8ec7-9d35a8eccdf3
Peter Smith – Science,https://create.kahoot.it/pages/6f5b0e81-a5e8-4c07-8711-530a2154948a
Muhammad Aminuddin – Biomedical Science,https://create.kahoot.it/pages/b1c1b6a1-2f90-4a12-b359-12da8c346b66
Anamika Jha – Science,https://create.kahoot.it/pages/98da158d-691c-407d-814f-937dc28ff6ee
Dineshwari Borkar – Math,https://create.kahoot.it/pages/a58b744f-b406-42c7-a009-15828bbc08ec
Maria José Giavedoni – Trivia,https://create.kahoot.it/pages/b0569eb6-4d2f-4551-bdf6-ce2686f8abc7
María Luz Colque – Math & Trivia,https://create.kahoot.it/pages/f2e7929d-562f-4d83-8fc6-1c8241764b5d
Miles Nottage – Music Tech,https://create.kahoot.it/pages/00c4b447-f5c6-41a4-8e95-db7b232ea87c
Wendi Ennis – Business,https://create.kahoot.it/pages/007b763f-e81c-4da4-98b0-c521f36f745a?_=1596549011
Melissa DeWitt – Math & SEL,https://create.kahoot.it/pages/823f478c-e506-40a2-9627-8b10520f4463?_=1596542408
Amanda Batty – Math,https://create.kahoot.it/pages/331efe87-b957-4d95-83f6-f26d1d97f85f?_=1596111006
Rajni Bhatia – Math,https://create.kahoot.it/pages/9832ccea-2795-4551-9fe8-ab65b5dfbc64?_=1596026107
Nicole L Lutzke – Math & ELA,https://create.kahoot.it/pages/2e0cbf39-5443-4c0f-9c03-6c748d58df14
Linda Hochstetler – Science & History,https://create.kahoot.it/pages/fb834da6-9181-4859-8d23-edd835283989?_=1595848509
American Football Trivia,https://create.kahoot.it/pages/0f99068f-a310-4670-86e3-19fd0b05cf85
Jaye Schaffer – Math,https://create.kahoot.it/pages/d38a9b93-9c20-44ff-bfb7-76e8170497fe?_=1595846708
Kate – Physical Education,https://create.kahoot.it/pages/ace1624f-e6c9-4fa9-aa10-5cf84c0b8949
Robin Johnson – Math,https://create.kahoot.it/pages/test/eff525df-1ebb-4434-8c44-c33b0b162d8f?_=1596466812
Katherine Hurlbert – Science & ELA,https://create.kahoot.it/pages/78b6fb66-ee5c-42ca-b047-cbb722f138a5
Daniel Timbal – ELA & Technology,https://create.kahoot.it/pages/test/c33f5b63-935a-4847-96b7-edd5e6cef47a?_=1594893311
Eric Kunto Aribowo – Ed Tech,https://create.kahoot.it/pages/test/6d835be8-fbfd-4758-a8a0-329fa45524c5
News & Trivia,https://create.kahoot.it/pages/62805ef3-c4dc-45c7-9180-9e7a569bc690
Math and Baseball trivia,https://create.kahoot.it/pages/c47faa8e-2dd3-4943-b5b2-cfb1f8ffcc95
Aimee Copple – Math & ELA,https://create.kahoot.it/pages/9bf441af-389d-4a09-8d47-0438af64b7d4
Jennifer Braswell – ELA & Technology,https://create.kahoot.it/pages/ea419844-b4ff-4e96-9296-8a6403696118
Chase Chatfield – Math & Art,https://create.kahoot.it/pages/36d153ce-e81d-4dd6-b1c2-6c60fe80d997
Tom Arntson – History & Science,https://create.kahoot.it/pages/cc7dfaea-a3ae-4c06-ab36-4d6e93c9356b
Steve Auslander – Math & History,https://create.kahoot.it/pages/57f16b9c-651a-481a-aa08-926fe98379bd
Alexandria Adams – ELA,https://create.kahoot.it/pages/ec2b0db9-5fe6-4b3a-92aa-e2ce8a2ca778
Glenn Cake – Français (FLE),https://create.kahoot.it/pages/0a9476d6-bafa-4a2f-b49c-664e8f6aa20e
Games for ages 16+,https://create.kahoot.it/pages/3fe82420-eb5a-47d4-a9ba-2bbe74dcabb9
Games for ages 11-16,https://create.kahoot.it/pages/9e984750-da06-4fba-8e4a-7fd72c7a40e9
Games for ages 3-11,https://create.kahoot.it/pages/e9d854ab-586d-4256-8186-aa8079af6597
English language,https://create.kahoot.it/pages/b9271209-f28b-4660-b8c4-78bdbd597c7a
Halloween,https://create.kahoot.it/pages/5be12809-9650-4ddf-ab60-3276fa948257
Earth Science by Kahoot!,https://create.kahoot.it/collection/1228076d-ea08-4bcb-a368-bf705a2d1618
Physical Science by Kahoot!,https://create.kahoot.it/collection/76e3abf4-4025-4986-857f-24ed0588ed6b
Science by Kahoot! – Biology,https://create.kahoot.it/collection/bf4440aa-4076-46a2-814b-cbfffb0bc5ad
Valentine’s Day,https://create.kahoot.it/collection/dd8ca749-b882-4b55-bd88-09be27e5b1c3
Math by Kahoot! – Geometry,https://create.kahoot.it/pages/c1491fff-d68f-4cd3-8e41-9efcd531e577
Climate Challenge,https://create.kahoot.it/pages/ee0262c5-596e-4697-8e2f-d1a3355757ae
Spring kahoots,https://create.kahoot.it/collection/98d21acc-5a7f-4391-ad7a-47eaa8fe5cb1
Science by Kahoot!,https://create.kahoot.it/pages/a35defee-4337-4c08-b43b-898b29e9986c
Hour of Code games by Kahoot!,https://create.kahoot.it/profile/KahootHourOfCode
Halloween trivia,https://create.kahoot.it/pages/f66f417e-c766-4bd8-b951-d71e43db8986
History by Kahoot!,https://create.kahoot.it/pages/386bc919-641b-47ab-ae9c-0fa357f5a9fe
Math by Kahoot! – Algebra,https://create.kahoot.it/pages/06c63be8-68a3-4862-bb80-2aa8ecc7b8da?_=1587467186
Math by Kahoot! – Fractions,https://create.kahoot.it/pages/39e6623e-e66a-4b2d-abef-e6cc94764b3d?_=1587718517
Math by Kahoot! – Multiplication,https://create.kahoot.it/pages/1d4bf7d1-53e1-46f6-bbef-96e9b77ff42f
Thanksgiving,https://create.kahoot.it/pages/5be12809-9650-4ddf-ab60-3276fa948257
Games for Thanksgiving,https://create.kahoot.it/collection/1bd68fb4-c6e4-4a7a-a5c8-9e2d4bdeb2a4
Holiday Calendar 2020,https://create.kahoot.it/collection/20c4f8ce-a9c8-49a1-9f35-a9d2719ac5fc
